146,3 3 3 3 J,4K
147,3 3 3 3 T,4K
148,3 3 3 3 9,4K
149,3 3 3 3 8,4K
150,3 3 3 3 7,4K
151,3 3 3 3 6,4K
152,3 3 3 3 5,4K
153,3 3 3 3 4,4K
154,3 3 3 3 2,4K
155,2 2 2 2 A,4K
156,2 2 2 2 K,4K
157,2 2 2 2 Q,4K
158,2 2 2 2 J,4K
159,2 2 2 2 T,4K
160,2 2 2 2 9,4K
161,2 2 2 2 8,4K
162,2 2 2 2 7,4K
163,2 2 2 2 6,4K
164,2 2 2 2 5,4K
165,2 2 2 2 4,4K
166,2 2 2 2 3,4K
167,A A A K K,FH
168,A A A Q Q,FH
169,A A A J J,FH
170,A A A T T,FH
171,A A A 9 9,FH
172,A A A 8 8,FH
173,A A A 7 7,FH
174,A A A 6 6,FH
175,A A A 5 5,FH
176,A A A 4 4,FH
177,A A A 3 3,FH
178,A A A 2 2,FH
179,K K K A A,FH
180,K K K Q Q,FH
181,K K K J J,FH
182,K K K T T,FH
183,K K K 9 9,FH
184,K K K 8 8,FH
185,K K K 7 7,FH
186,K K K 6 6,FH
187,K K K 5 5,FH
188,K K K 4 4,FH
189,K K K 3 3,FH
190,K K K 2 2,FH
191,Q Q Q A A,FH
192,Q Q Q K K,FH
193,Q Q Q J J,FH
194,Q Q Q T T,FH
195,Q Q Q 9 9,FH
196,Q Q Q 8 8,FH
197,Q Q Q 7 7,FH
198,Q Q Q 6 6,FH
199,Q Q Q 5 5,FH
200,Q Q Q 4 4,FH
201,Q Q Q 3 3,FH
202,Q Q Q 2 2,FH
203,J J J A A,FH
204,J J J K K,FH
205,J J J Q Q,FH
206,J J J T T,FH
207,J J J 9 9,FH
208,J J J 8 8,FH
209,J J J 7 7,FH
210,J J J 6 6,FH
211,J J J 5 5,FH
212,J J J 4 4,FH
213,J J J 3 3,FH
214,J J J 2 2,FH
215,T T T A A,FH
216,T T T K K,FH
217,T T T Q Q,FH
218,T T T J J,FH
219,T T T 9 9,FH
220,T T T 8 8,FH
221,T T T 7 7,FH
222,T T T 6 6,FH
223,T T T 5 5,FH
224,T T T 4 4,FH
225,T T T 3 3,FH
226,T T T 2 2,FH
227,9 9 9 A A,FH
228,9 9 9 K K,FH
229,9 9 9 Q Q,FH
230,9 9 9 J J,FH
231,9 9 9 T T,FH
232,9 9 9 8 8,FH
233,9 9 9 7 7,FH
234,9 9 9 6 6,FH
235,9 9 9 5 5,FH
236,9 9 9 4 4,FH
237,9 9 9 3 3,FH
238,9 9 9 2 2,FH
239,8 8 8 A A,FH
240,8 8 8 K K,FH
241,8 8 8 Q Q,FH
242,8 8 8 J J,FH
243,8 8 8 T T,FH
244,8 8 8 9 9,FH
245,8 8 8 7 7,FH
246,8 8 8 6 6,FH
247,8 8 8 5 5,FH
248,8 8 8 4 4,FH
249,8 8 8 3 3,FH
250,8 8 8 2 2,FH
251,7 7 7 A A,FH
252,7 7 7 K K,FH
253,7 7 7 Q Q,FH
254,7 7 7 J J,FH
255,7 7 7 T T,FH
256,7 7 7 9 9,FH
257,7 7 7 8 8,FH
258,7 7 7 6 6,FH
259,7 7 7 5 5,FH
260,7 7 7 4 4,FH
261,7 7 7 3 3,FH
262,7 7 7 2 2,FH
263,6 6 6 A A,FH
264,6 6 6 K K,FH
265,6 6 6 Q Q,FH
266,6 6 6 J J,FH
267,6 6 6 T T,FH
268,6 6 6 9 9,FH
269,6 6 6 8 8,FH
270,6 6 6 7 7,FH
271,6 6 6 5 5,FH
272,6 6 6 4 4,FH
273,6 6 6 3 3,FH
274,6 6 6 2 2,FH
275,5 5 5 A A,FH
276,5 5 5 K K,FH
277,5 5 5 Q Q,FH
278,5 5 5 J J,FH
279,5 5 5 T T,FH
280,5 5 5 9 9,FH
281,5 5 5 8 8,FH
